Aarons Pass,,NSW,New South Wales,Rural locality
Abba River,,WA,Western Australia,Rural locality
Abbey,Busselton,WA,Western Australia,Suburb
Abbeyard,,VIC,Victoria,Rural locality
Abbeywood,,QLD,Queensland,Rural locality
Abbotsbury,Sydney,NSW,New South Wales,Suburb
Abbotsford,Sydney,NSW,New South Wales,Suburb
Abbotsford,,QLD,Queensland,Rural locality
Abbotsford,Melbourne,VIC,Victoria,Suburb
Abbotsham,,TAS,Tasmania,Rural locality
Abels Bay,,TAS,Tasmania,Rural locality
Abercorn,,QLD,Queensland,Rural locality
Abercrombie,Bathurst,NSW,New South Wales,Suburb
Abercrombie River,,NSW,New South Wales,Rural locality
Aberdare,Cessnock,NSW,New South Wales,Suburb
Aberdeen,,NSW,New South Wales,Urban locality
Aberdeen,,TAS,Tasmania,Rural locality
Aberfeldie,Melbourne,VIC,Victoria,Suburb
Aberfeldy,,VIC,Victoria,Rural locality
Aberfoyle,,NSW,New South Wales,Rural locality
Aberfoyle Park,Adelaide,SA,South Australia,Suburb
Aberglasslyn,Maitland,NSW,New South Wales,Suburb
Abergowrie,,QLD,Queensland,Rural locality
Abermain,Kurri Kurri - Weston,NSW,New South Wales,Suburb
Abernethy,,NSW,New South Wales,Rural locality
Abingdon Downs,,QLD,Queensland,Rural locality
Abington,,NSW,New South Wales,Rural locality
Abington,,QLD,Queensland,Rural locality
Acacia Creek,,NSW,New South Wales,Rural locality
Acacia Gardens,Sydney,NSW,New South Wales,Suburb
Acacia Hills,,NT,Northern Territory,Rural locality
Acacia Hills,,TAS,Tasmania,Rural locality
Acacia Ridge,Brisbane,QLD,Queensland,Suburb
Acheron,,VIC,Victoria,Rural locality
Acland,,QLD,Queensland,Rural locality
Acton,Canberra,ACT,Australian Capital Territory,Suburb
Acton,Burnie - Somerset,TAS,Tasmania,Suburb
Acton Park,Hobart,TAS,Tasmania,Suburb
Acton Park,,WA,Western Australia,Rural locality
Ada,,VIC,Victoria,Rural locality
Adaminaby,,NSW,New South Wales,Urban locality
Adams Estate,,VIC,Victoria,Rural locality
Adamstown,Newcastle,NSW,New South Wales,Suburb
Adamstown Heights,Newcastle,NSW,New South Wales,Suburb
Adamsvale,,WA,Western Australia,Rural locality
Adare,,QLD,Queensland,Rural locality
Adavale,,QLD,Queensland,Rural locality
Addington,,VIC,Victoria,Rural locality
Adelaide,,SA,South Australia,Major urban locality
Adelaide Lead,,VIC,Victoria,Rural locality
Adelaide Park,,QLD,Queensland,Rural locality
Adelaide River,,NT,Northern Territory,Rural locality
Adelong,,NSW,New South Wales,Urban locality
Adjungbilly,,NSW,New South Wales,Rural locality
Advancetown,,QLD,Queensland,Rural locality
Adventure Bay,,TAS,Tasmania,Rural locality
Aeroglen,Cairns,QLD,Queensland,Suburb
Afterlee,,NSW,New South Wales,Rural locality
Agery,,SA,South Australia,Rural locality
Agnes,,VIC,Victoria,Rural locality
Agnes Banks,,NSW,New South Wales,Rural locality
Agnes Water,,QLD,Queensland,Urban locality
Ainslie,Canberra,ACT,Australian Capital Territory,Suburb
Airdmillan,,QLD,Queensland,Rural locality
Airds,Sydney,NSW,New South Wales,Suburb
Aire Valley,,VIC,Victoria,Rural locality
Aireys Inlet,,VIC,Victoria,Urban locality
Airlie Beach,,QLD,Queensland,Urban locality
Airly,,VIC,Victoria,Rural locality
Airville,,QLD,Queensland,Rural locality
Aitkenvale,Townsville,QLD,Queensland,Suburb
Ajana,,WA,Western Australia,Rural locality
Akaroa,,TAS,Tasmania,Urban locality
Akolele,,NSW,New South Wales,Urban locality
Alabama Hill,Charters Towers,QLD,Queensland,Suburb
Alawa,Darwin,NT,Northern Territory,Suburb
Alawoona,,SA,South Australia,Rural locality
Albacutya,,VIC,Victoria,Rural locality
Albanvale,Melbourne,VIC,Victoria,Suburb
Albany,,WA,Western Australia,Major urban locality
Albany Creek,Brisbane,QLD,Queensland,Suburb
Albert,,NSW,New South Wales,Rural locality
Alberta,,QLD,Queensland,Rural locality
Alberton,,QLD,Queensland,Rural locality
Alberton,Adelaide,SA,South Australia,Suburb
Alberton,,TAS,Tasmania,Rural locality
Alberton,,VIC,Victoria,Rural locality
Alberton West,,VIC,Victoria,Rural locality
Albert Park,Adelaide,SA,South Australia,Suburb
Albert Park,Melbourne,VIC,Victoria,Suburb
Albinia,,QLD,Queensland,Rural locality
Albion,Brisbane,QLD,Queensland,Suburb
Albion,,QLD,Queensland,Rural locality
Albion,Melbourne,VIC,Victoria,Suburb
Albion Park,Wollongong,NSW,New South Wales,Suburb
Albion Park Rail,Wollongong,NSW,New South Wales,Suburb
Albury,,NSW,New South Wales,Major urban locality
Alcomie,,TAS,Tasmania,Rural locality
Aldavilla,Kempsey,NSW,New South Wales,Suburb
Alderley,Brisbane,QLD,Queensland,Suburb
Aldershot,,QLD,Queensland,Rural locality
Aldersyde,,WA,Western Australia,Rural locality
Aldgate,Crafers - Bridgewater,SA,South Australia,Suburb
Aldinga,,SA,South Australia,Urban locality
Aldinga Beach,Adelaide,SA,South Australia,Suburb
Aldoga,,QLD,Queensland,Rural locality
Alectown,,NSW,New South Wales,Rural locality
Alexander Heights,Perth,WA,Western Australia,Suburb
Alexandra,,QLD,Queensland,Rural locality
Alexandra,,VIC,Victoria,Urban locality
Alexandra Bridge,,WA,Western Australia,Rural locality
Alexandra Headland,Sunshine Coast,QLD,Queensland,Suburb
Alexandra Hills,Brisbane,QLD,Queensland,Suburb
Alexandria,Sydney,NSW,New South Wales,Suburb
Alford,,SA,South Australia,Rural locality
Alfords Point,Sydney,NSW,New South Wales,Suburb
Alfred Cove,Perth,WA,Western Australia,Suburb
Alfredton,Ballarat,VIC,Victoria,Suburb
Alfredtown,,NSW,New South Wales,Rural locality
Algester,Brisbane,QLD,Queensland,Suburb
Alice,,NSW,New South Wales,Rural locality
Alice Creek,,QLD,Queensland,Rural locality
Alice River,,QLD,Queensland,Urban locality
Alice Springs,,NT,Northern Territory,Major urban locality
Ali Curung,,NT,Northern Territory,Urban locality
Alison,,NSW,New South Wales,Rural locality
Alison,,NSW,New South Wales,Rural locality
Alkimos,,WA,Western Australia,Rural locality
Allambee,,VIC,Victoria,Rural locality
Allambee Reserve,,VIC,Victoria,Rural locality
Allambee South,,VIC,Victoria,Rural locality
Allambie Heights,Sydney,NSW,New South Wales,Suburb
Allan,,QLD,Queensland,Rural locality
Allandale,,NSW,New South Wales,Rural locality
Allandale,,QLD,Queensland,Rural locality
Allanooka,,WA,Western Australia,Rural locality
Allans Flat,,VIC,Victoria,Rural locality
Allansford,,VIC,Victoria,Urban locality
Allanson,,WA,Western Australia,Urban locality
Allawah,Sydney,NSW,New South Wales,Suburb
Alleena,,NSW,New South Wales,Rural locality
Allenby Gardens,Adelaide,SA,South Australia,Suburb
Allendale,,VIC,Victoria,Rural locality
Allendale East,,SA,South Australia,Urban locality
Allendale North,,SA,South Australia,Rural locality
Allens Rivulet,,TAS,Tasmania,Rural locality
Allenstown,Rockhampton,QLD,Queensland,Suburb
Allenview,,QLD,Queensland,Rural locality
Allestree,,VIC,Victoria,Rural locality
Allgomera,,NSW,New South Wales,Rural locality
Alligator Creek,,QLD,Queensland,Rural locality
Alligator Creek,,QLD,Queensland,Urban locality
Allora,,QLD,Queensland,Urban locality
Alloway,,QLD,Queensland,Rural locality
Allworth,,NSW,New South Wales,Rural locality
Allynbrook,,NSW,New South Wales,Rural locality
Alma,,SA,South Australia,Rural locality
Alma,,VIC,Victoria,Rural locality
Alma,,WA,Western Australia,Rural locality
Almaden,,QLD,Queensland,Rural locality
Alma Park,,NSW,New South Wales,Rural locality
Almonds,,VIC,Victoria,Rural locality
Almurta,,VIC,Victoria,Rural locality
Alonnah,,TAS,Tasmania,Rural locality
Aloomba,,QLD,Queensland,Rural locality
Alpha,,QLD,Queensland,Urban locality
Alphington,Melbourne,VIC,Victoria,Suburb
Alpine,,NSW,New South Wales,Rural locality
Alpurrurulam,,NT,Northern Territory,Urban locality
Alsace,,QLD,Queensland,Rural locality
Alstonvale,,NSW,New South Wales,Rural locality
Alstonville,,NSW,New South Wales,Urban locality
Altona,,SA,South Australia,Rural locality
